timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686515591783,186,login,200,,Thread Group 1-2,text,true,,2629,246,4,4,http://3.141.4.157/fablix/login.html,182,0,92
1686515591783,186,login,200,,Thread Group 1-1,text,true,,2629,246,4,4,http://3.141.4.157/fablix/login.html,182,0,92
1686515591868,141,login,200,,Thread Group 1-3,text,true,,2629,246,4,4,http://3.141.4.157/fablix/login.html,141,0,66
1686515591966,140,login,200,,Thread Group 1-4,text,true,,2629,246,5,5,http://3.141.4.157/fablix/login.html,140,0,64
1686515592067,144,login,200,,Thread Group 1-5,text,true,,2629,246,6,6,http://3.141.4.157/fablix/login.html,144,0,72
1686515592166,153,login,200,,Thread Group 1-6,text,true,,2629,246,7,7,http://3.141.4.157/fablix/login.html,153,0,67
1686515592262,139,login,200,,Thread Group 1-7,text,true,,2629,246,8,8,http://3.141.4.157/fablix/login.html,139,0,64
1686515592363,140,login,200,,Thread Group 1-8,text,true,,2629,246,9,9,http://3.141.4.157/fablix/login.html,140,0,65
1686515592461,142,login,200,,Thread Group 1-9,text,true,,2629,246,10,10,http://3.141.4.157/fablix/login.html,142,0,64
1686515592561,139,login,200,,Thread Group 1-10,text,true,,2629,246,10,10,http://3.141.4.157/fablix/login.html,139,0,66
1686515592107,727,add,200,,Thread Group 1-4,text,true,,2132,197,10,10,http://3.141.4.157/fablix/search?title=Being%20Human&pagesize=50&sort=ranking&order=DESC,727,0,0
1686515592401,434,add,200,,Thread Group 1-7,text,true,,165,202,10,10,http://3.141.4.157/fablix/search?title=The%20Two%20Towers&pagesize=50&sort=ranking&order=DESC,434,0,0
1686515592212,623,add,200,,Thread Group 1-5,text,true,,165,199,10,10,http://3.141.4.157/fablix/search?title=Batman%20Begins&pagesize=50&sort=ranking&order=DESC,623,0,0
1686515592010,831,add,200,,Thread Group 1-3,text,true,,5428,200,10,10,http://3.141.4.157/fablix/search?title=Bruce%20Almighty&pagesize=50&sort=ranking&order=DESC,831,0,0
1686515591974,1052,add,200,,Thread Group 1-1,text,true,,165,203,10,10,http://3.141.4.157/fablix/search?title=The%20Sixth%20Sense&pagesize=50&sort=ranking&order=DESC,1052,0,0
1686515592700,329,add,200,,Thread Group 1-10,text,true,,1810,202,10,10,http://3.141.4.157/fablix/search?title=Shall%20We%20Dance&pagesize=50&sort=ranking&order=DESC,328,0,0
1686515592603,468,add,200,,Thread Group 1-9,text,true,,165,213,10,10,http://3.141.4.157/fablix/search?title=The%20Lord%20of%20the%20Rings&pagesize=50&sort=ranking&order=DESC,468,0,0
1686515591974,1163,add,200,,Thread Group 1-2,text,true,,1782,198,10,10,http://3.141.4.157/fablix/search?title=Forrest%20Gump&pagesize=50&sort=ranking&order=DESC,1163,0,0
1686515592319,928,add,200,,Thread Group 1-6,text,true,,336,207,10,10,http://3.141.4.157/fablix/search?title=Million%20Dollar%20Baby&pagesize=50&sort=ranking&order=DESC,928,0,0
1686515592836,467,add,200,,Thread Group 1-7,text,true,,835,198,10,10,http://3.141.4.157/fablix/search?title=Notting%20Hill&pagesize=50&sort=ranking&order=DESC,467,0,73
1686515592836,491,add,200,,Thread Group 1-5,text,true,,3640,197,10,10,http://3.141.4.157/fablix/search?title=Ghost%20World&pagesize=50&sort=ranking&order=DESC,491,0,74
1686515592842,529,add,200,,Thread Group 1-3,text,true,,521,206,10,10,http://3.141.4.157/fablix/search?title=The%20Usual%20Suspects&pagesize=50&sort=ranking&order=DESC,529,0,67
1686515593026,385,add,200,,Thread Group 1-1,text,true,,5341,200,10,10,http://3.141.4.157/fablix/search?title=Vampire%20Effect&pagesize=50&sort=ranking&order=DESC,385,0,67
1686515592503,929,add,200,,Thread Group 1-8,text,true,,2480,206,10,10,http://3.141.4.157/fablix/search?title=Live%20and%20Let%20Die&pagesize=50&sort=ranking&order=DESC,929,0,0
1686515593138,327,add,200,,Thread Group 1-2,text,true,,3640,197,10,10,http://3.141.4.157/fablix/search?title=Ghost%20World&pagesize=50&sort=ranking&order=DESC,327,0,68
1686515593248,262,add,200,,Thread Group 1-6,text,true,,843,206,10,10,http://3.141.4.157/fablix/search?title=American%20History%20X&pagesize=50&sort=ranking&order=DESC,262,0,64
1686515593328,359,add,200,,Thread Group 1-5,text,true,,24710,193,10,10,http://3.141.4.157/fablix/search?title=Alexander&pagesize=50&sort=ranking&order=DESC,297,0,66
1686515593372,333,add,200,,Thread Group 1-3,text,true,,509,199,10,10,http://3.141.4.157/fablix/search?title=Sleepy%20Hollow&pagesize=50&sort=ranking&order=DESC,333,0,68
1686515593412,343,add,200,,Thread Group 1-1,text,true,,809,199,10,10,http://3.141.4.157/fablix/search?title=Rush%20Hour%202&pagesize=50&sort=ranking&order=DESC,343,0,66
1686515593433,351,add,200,,Thread Group 1-8,text,true,,165,208,10,10,http://3.141.4.157/fablix/search?title=Walk%20in%20the%20Clouds&pagesize=50&sort=ranking&order=DESC,351,0,66
1686515593466,339,add,200,,Thread Group 1-2,text,true,,165,203,10,10,http://3.141.4.157/fablix/search?title=Swimming%20Upstream&pagesize=50&sort=ranking&order=DESC,339,0,65
1686515593510,307,add,200,,Thread Group 1-6,text,true,,7135,192,10,10,http://3.141.4.157/fablix/search?title=Dr.%20No&pagesize=50&sort=ranking&order=DESC,303,0,64
1686515593029,821,add,200,,Thread Group 1-10,text,true,,165,199,10,10,http://3.141.4.157/fablix/search?title=Batman%20Begins&pagesize=50&sort=ranking&order=DESC,821,0,64
1686515592835,1052,add,200,,Thread Group 1-4,text,true,,2864,212,10,10,http://3.141.4.157/fablix/search?title=The%20Spy%20Who%20Loved%20Me&pagesize=50&sort=ranking&order=DESC,1052,0,73
1686515593072,829,add,200,,Thread Group 1-9,text,true,,165,201,10,10,http://3.141.4.157/fablix/search?title=The%20Lost%20Boys&pagesize=50&sort=ranking&order=DESC,829,0,65
1686515593687,326,add,200,,Thread Group 1-5,text,true,,165,198,10,10,http://3.141.4.157/fablix/search?title=Ocean%20Twelve&pagesize=50&sort=ranking&order=DESC,326,0,67
1686515593705,404,add,200,,Thread Group 1-3,text,true,,1996,204,10,10,http://3.141.4.157/fablix/search?title=the%20Last%20Crusade&pagesize=50&sort=ranking&order=DESC,404,0,66
1686515593818,351,add,200,,Thread Group 1-6,text,true,,1119,191,10,10,http://3.141.4.157/fablix/search?title=Stepmom&pagesize=50&sort=ranking&order=DESC,351,0,63
1686515593850,429,add,200,,Thread Group 1-10,text,true,,165,201,10,10,http://3.141.4.157/fablix/search?title=The%20Lost%20Boys&pagesize=50&sort=ranking&order=DESC,429,0,72
1686515593887,484,add,200,,Thread Group 1-4,text,true,,165,204,10,10,http://3.141.4.157/fablix/search?title=The%20Life%20Aquatic&pagesize=50&sort=ranking&order=DESC,484,0,68
1686515593304,1077,add,200,,Thread Group 1-7,text,true,,90017,189,10,10,http://3.141.4.157/fablix/search?title=Seven&pagesize=50&sort=ranking&order=DESC,944,0,64
1686515593901,503,add,200,,Thread Group 1-9,text,true,,165,199,10,10,http://3.141.4.157/fablix/search?title=The%20Machinist&pagesize=50&sort=ranking&order=DESC,503,0,66
1686515594014,442,add,200,,Thread Group 1-5,text,true,,341,212,10,10,http://3.141.4.157/fablix/search?title=The%20Merchant%20of%20Venice&pagesize=50&sort=ranking&order=DESC,442,0,65
1686515594169,298,add,200,,Thread Group 1-6,text,true,,3389,200,10,10,http://3.141.4.157/fablix/search?title=Home%20Alone%202&pagesize=50&sort=ranking&order=DESC,298,0,65
1686515594279,202,add,200,,Thread Group 1-10,text,true,,873,190,10,10,http://3.141.4.157/fablix/search?title=Amelie&pagesize=50&sort=ranking&order=DESC,202,0,68
1686515594371,240,add,200,,Thread Group 1-4,text,true,,3510,192,10,10,http://3.141.4.157/fablix/search?title=8%20Mile&pagesize=50&sort=ranking&order=DESC,240,0,65
1686515593806,812,add,200,,Thread Group 1-2,text,true,,165,200,10,10,http://3.141.4.157/fablix/search?title=Lemony%20Snicket&pagesize=50&sort=ranking&order=DESC,812,0,65
1686515593784,936,add,200,,Thread Group 1-8,text,true,,4414,198,10,10,http://3.141.4.157/fablix/search?title=Terminator%202&pagesize=50&sort=ranking&order=DESC,934,0,66
1686515593756,968,add,200,,Thread Group 1-1,text,true,,11572,203,10,10,http://3.141.4.157/fablix/search?title=License%20To%20Kill&pagesize=50&sort=ranking&order=DESC,966,0,69
1686515594382,352,add,200,,Thread Group 1-7,text,true,,165,200,10,10,http://3.141.4.157/fablix/search?title=Racing%20Stripes&pagesize=50&sort=ranking&order=DESC,352,0,65
1686515594404,363,add,200,,Thread Group 1-9,text,true,,165,199,10,10,http://3.141.4.157/fablix/search?title=Oceans%20Twelve&pagesize=50&sort=ranking&order=DESC,363,0,64
1686515594110,717,add,200,,Thread Group 1-3,text,true,,165,202,10,10,http://3.141.4.157/fablix/search?title=50%20First%20Dates&pagesize=50&sort=ranking&order=DESC,717,0,64
1686515594456,466,add,200,,Thread Group 1-5,text,true,,1163,203,10,10,http://3.141.4.157/fablix/search?title=Dumb%20and%20Dumber&pagesize=50&sort=ranking&order=DESC,466,0,66
1686515594482,502,add,200,,Thread Group 1-10,text,true,,165,202,10,10,http://3.141.4.157/fablix/search?title=The%20Two%20Towers&pagesize=50&sort=ranking&order=DESC,502,0,66
1686515594612,463,add,200,,Thread Group 1-4,text,true,,1794,193,10,10,http://3.141.4.157/fablix/search?title=GoldenEye&pagesize=50&sort=ranking&order=DESC,463,0,82
1686515594618,476,add,200,,Thread Group 1-2,text,true,,165,198,10,10,http://3.141.4.157/fablix/search?title=Training%20Day&pagesize=50&sort=ranking&order=DESC,476,0,76
