timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686516497137,248,login,200,,Thread Group 1-1,text,true,,2629,246,4,4,http://3.141.4.157/fablix/login.html,245,0,90
1686516497154,232,login,200,,Thread Group 1-2,text,true,,2629,246,4,4,http://3.141.4.157/fablix/login.html,229,0,72
1686516497253,139,login,200,,Thread Group 1-3,text,true,,2629,246,4,4,http://3.141.4.157/fablix/login.html,139,0,64
1686516497349,151,login,200,,Thread Group 1-4,text,true,,2629,246,5,5,http://3.141.4.157/fablix/login.html,151,0,79
1686516497449,138,login,200,,Thread Group 1-5,text,true,,2629,246,6,6,http://3.141.4.157/fablix/login.html,138,0,66
1686516497548,137,login,200,,Thread Group 1-6,text,true,,2629,246,7,7,http://3.141.4.157/fablix/login.html,137,0,66
1686516497647,139,login,200,,Thread Group 1-7,text,true,,2629,246,8,8,http://3.141.4.157/fablix/login.html,139,0,65
1686516497746,138,login,200,,Thread Group 1-8,text,true,,2629,246,9,9,http://3.141.4.157/fablix/login.html,138,0,65
1686516497844,140,login,200,,Thread Group 1-9,text,true,,2629,246,10,10,http://3.141.4.157/fablix/login.html,140,0,66
1686516497944,138,login,200,,Thread Group 1-10,text,true,,2629,246,10,10,http://3.141.4.157/fablix/login.html,138,0,64
1686516497500,596,add,200,,Thread Group 1-4,text,true,,2132,197,10,10,http://3.141.4.157/fablix/search?title=Being%20Human&pagesize=50&sort=ranking&order=DESC,595,0,0
1686516497685,411,add,200,,Thread Group 1-6,text,true,,336,207,10,10,http://3.141.4.157/fablix/search?title=Million%20Dollar%20Baby&pagesize=50&sort=ranking&order=DESC,411,0,0
1686516497884,212,add,200,,Thread Group 1-8,text,true,,2480,206,10,10,http://3.141.4.157/fablix/search?title=Live%20and%20Let%20Die&pagesize=50&sort=ranking&order=DESC,212,0,0
1686516497393,711,add,200,,Thread Group 1-2,text,true,,1782,198,10,10,http://3.141.4.157/fablix/search?title=Forrest%20Gump&pagesize=50&sort=ranking&order=DESC,710,0,0
1686516497393,800,add,200,,Thread Group 1-1,text,true,,165,203,10,10,http://3.141.4.157/fablix/search?title=The%20Sixth%20Sense&pagesize=50&sort=ranking&order=DESC,800,0,0
1686516498083,188,add,200,,Thread Group 1-10,text,true,,1810,202,10,10,http://3.141.4.157/fablix/search?title=Shall%20We%20Dance&pagesize=50&sort=ranking&order=DESC,187,0,0
1686516497587,735,add,200,,Thread Group 1-5,text,true,,165,199,10,10,http://3.141.4.157/fablix/search?title=Batman%20Begins&pagesize=50&sort=ranking&order=DESC,735,0,0
1686516497393,946,add,200,,Thread Group 1-3,text,true,,5428,200,10,10,http://3.141.4.157/fablix/search?title=Bruce%20Almighty&pagesize=50&sort=ranking&order=DESC,946,0,0
1686516498097,417,add,200,,Thread Group 1-8,text,true,,3640,197,10,10,http://3.141.4.157/fablix/search?title=Ghost%20World&pagesize=50&sort=ranking&order=DESC,417,0,64
1686516498096,465,add,200,,Thread Group 1-4,text,true,,2864,212,10,10,http://3.141.4.157/fablix/search?title=The%20Spy%20Who%20Loved%20Me&pagesize=50&sort=ranking&order=DESC,464,0,66
1686516498104,464,add,200,,Thread Group 1-2,text,true,,521,206,10,10,http://3.141.4.157/fablix/search?title=The%20Usual%20Suspects&pagesize=50&sort=ranking&order=DESC,464,0,65
1686516498340,262,add,200,,Thread Group 1-3,text,true,,3640,197,10,10,http://3.141.4.157/fablix/search?title=Ghost%20World&pagesize=50&sort=ranking&order=DESC,262,0,64
1686516498322,284,add,200,,Thread Group 1-5,text,true,,165,201,10,10,http://3.141.4.157/fablix/search?title=The%20Lost%20Boys&pagesize=50&sort=ranking&order=DESC,284,0,65
1686516497787,857,add,200,,Thread Group 1-7,text,true,,165,202,10,10,http://3.141.4.157/fablix/search?title=The%20Two%20Towers&pagesize=50&sort=ranking&order=DESC,856,0,0
1686516497984,926,add,200,,Thread Group 1-9,text,true,,165,213,10,10,http://3.141.4.157/fablix/search?title=The%20Lord%20of%20the%20Rings&pagesize=50&sort=ranking&order=DESC,926,0,0
1686516498607,379,add,200,,Thread Group 1-5,text,true,,809,199,10,10,http://3.141.4.157/fablix/search?title=Rush%20Hour%202&pagesize=50&sort=ranking&order=DESC,379,0,68
1686516498603,392,add,200,,Thread Group 1-3,text,true,,509,199,10,10,http://3.141.4.157/fablix/search?title=Sleepy%20Hollow&pagesize=50&sort=ranking&order=DESC,392,0,65
1686516498569,436,add,200,,Thread Group 1-2,text,true,,24710,193,10,10,http://3.141.4.157/fablix/search?title=Alexander&pagesize=50&sort=ranking&order=DESC,373,0,63
