timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686519748574,175,login,200,,Thread Group 1-1,text,true,,2629,246,1,1,http://3.141.4.157/fablix/login.html,172,0,82
1686519748758,428,add,200,,Thread Group 1-1,text,true,,1782,198,1,1,http://3.141.4.157/fablix/search?title=Forrest%20Gump&pagesize=50&sort=ranking&order=DESC,427,0,0
1686519749186,195,add,200,,Thread Group 1-1,text,true,,165,203,1,1,http://3.141.4.157/fablix/search?title=The%20Sixth%20Sense&pagesize=50&sort=ranking&order=DESC,195,0,66
1686519749382,216,add,200,,Thread Group 1-1,text,true,,5428,200,1,1,http://3.141.4.157/fablix/search?title=Bruce%20Almighty&pagesize=50&sort=ranking&order=DESC,216,0,66
1686519749599,209,add,200,,Thread Group 1-1,text,true,,2132,197,1,1,http://3.141.4.157/fablix/search?title=Being%20Human&pagesize=50&sort=ranking&order=DESC,209,0,70
1686519749809,180,add,200,,Thread Group 1-1,text,true,,165,199,1,1,http://3.141.4.157/fablix/search?title=Batman%20Begins&pagesize=50&sort=ranking&order=DESC,180,0,65
1686519749990,195,add,200,,Thread Group 1-1,text,true,,336,207,1,1,http://3.141.4.157/fablix/search?title=Million%20Dollar%20Baby&pagesize=50&sort=ranking&order=DESC,195,0,63
1686519750188,185,add,200,,Thread Group 1-1,text,true,,165,202,1,1,http://3.141.4.157/fablix/search?title=The%20Two%20Towers&pagesize=50&sort=ranking&order=DESC,185,0,64
1686519750374,217,add,200,,Thread Group 1-1,text,true,,2480,206,1,1,http://3.141.4.157/fablix/search?title=Live%20and%20Let%20Die&pagesize=50&sort=ranking&order=DESC,217,0,67
1686519750592,195,add,200,,Thread Group 1-1,text,true,,165,213,1,1,http://3.141.4.157/fablix/search?title=The%20Lord%20of%20the%20Rings&pagesize=50&sort=ranking&order=DESC,195,0,68
