timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686522432277,182,login,200,,Thread Group 1-1,text,true,,2629,246,2,2,http://3.141.4.157/fablix/login.html,181,0,67
1686522432376,141,login,200,,Thread Group 1-2,text,true,,2629,246,3,3,http://3.141.4.157/fablix/login.html,141,0,65
1686522432461,126,add,200,,Thread Group 1-1,text,true,,1782,198,4,4,http://3.141.4.157/fablix/search?title=Forrest%20Gump&pagesize=50&sort=ranking&order=DESC,126,0,0
1686522432475,141,login,200,,Thread Group 1-3,text,true,,2629,246,4,4,http://3.141.4.157/fablix/login.html,141,0,65
1686522432518,124,add,200,,Thread Group 1-2,text,true,,165,203,4,4,http://3.141.4.157/fablix/search?title=The%20Sixth%20Sense&pagesize=50&sort=ranking&order=DESC,124,0,0
1686522432574,143,login,200,,Thread Group 1-4,text,true,,2629,246,5,5,http://3.141.4.157/fablix/login.html,143,0,66
1686522432617,139,add,200,,Thread Group 1-3,text,true,,2132,197,5,5,http://3.141.4.157/fablix/search?title=Being%20Human&pagesize=50&sort=ranking&order=DESC,139,0,0
1686522432674,136,login,200,,Thread Group 1-5,text,true,,2629,246,6,6,http://3.141.4.157/fablix/login.html,136,0,65
1686522432643,235,add,200,,Thread Group 1-2,text,true,,165,199,7,7,http://3.141.4.157/fablix/search?title=Batman%20Begins&pagesize=50&sort=ranking&order=DESC,235,0,74
1686522432779,151,login,200,,Thread Group 1-6,text,true,,2629,246,7,7,http://3.141.4.157/fablix/login.html,151,0,79
1686522432718,220,add,200,,Thread Group 1-4,text,true,,336,207,7,7,http://3.141.4.157/fablix/search?title=Million%20Dollar%20Baby&pagesize=50&sort=ranking&order=DESC,219,0,0
1686522432811,148,add,200,,Thread Group 1-5,text,true,,2480,206,7,7,http://3.141.4.157/fablix/search?title=Live%20and%20Let%20Die&pagesize=50&sort=ranking&order=DESC,148,0,0
1686522432588,395,add,200,,Thread Group 1-1,text,true,,5428,200,8,8,http://3.141.4.157/fablix/search?title=Bruce%20Almighty&pagesize=50&sort=ranking&order=DESC,395,0,65
1686522432878,152,login,200,,Thread Group 1-7,text,true,,2629,246,8,8,http://3.141.4.157/fablix/login.html,152,0,68
1686522432879,200,add,200,,Thread Group 1-2,text,true,,165,213,9,9,http://3.141.4.157/fablix/search?title=The%20Lord%20of%20the%20Rings&pagesize=50&sort=ranking&order=DESC,200,0,67
1686522432976,145,login,200,,Thread Group 1-8,text,true,,2629,246,9,9,http://3.141.4.157/fablix/login.html,145,0,67
1686522433076,142,login,200,,Thread Group 1-9,text,true,,2629,246,10,10,http://3.141.4.157/fablix/login.html,142,0,64
1686522432960,325,add,200,,Thread Group 1-5,text,true,,835,198,10,10,http://3.141.4.157/fablix/search?title=Notting%20Hill&pagesize=50&sort=ranking&order=DESC,325,0,63
