timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686470649332,171,login,200,,Thread Group 1-2,text,true,,2534,251,3,3,http://3.141.4.157:8080/fablix/login.html,164,0,79
1686470649318,185,login,200,,Thread Group 1-1,text,true,,2534,251,3,3,http://3.141.4.157:8080/fablix/login.html,178,0,92
1686470649431,133,login,200,,Thread Group 1-3,text,true,,2534,251,4,4,http://3.141.4.157:8080/fablix/login.html,133,0,65
1686470649529,139,login,200,,Thread Group 1-4,text,true,,2534,251,5,5,http://3.141.4.157:8080/fablix/login.html,139,0,65
1686470649511,163,add,200,,Thread Group 1-1,text,true,,1727,183,5,5,http://3.141.4.157:8080/fablix/search?title=Forrest%20Gump&pagesize=50&sort=ranking&order=DESC,163,0,0
1686470649628,145,login,200,,Thread Group 1-5,text,true,,2534,251,6,6,http://3.141.4.157:8080/fablix/login.html,145,0,64
1686470649511,329,add,200,,Thread Group 1-2,text,true,,133,188,7,7,http://3.141.4.157:8080/fablix/search?title=The%20Sixth%20Sense&pagesize=50&sort=ranking&order=DESC,329,0,0
1686470649728,146,login,200,,Thread Group 1-6,text,true,,2534,251,7,7,http://3.141.4.157:8080/fablix/login.html,146,0,64
1686470649565,358,add,200,,Thread Group 1-3,text,true,,5373,185,7,7,http://3.141.4.157:8080/fablix/search?title=Bruce%20Almighty&pagesize=50&sort=ranking&order=DESC,358,0,0
1686470649668,284,add,200,,Thread Group 1-4,text,true,,2077,182,8,8,http://3.141.4.157:8080/fablix/search?title=Being%20Human&pagesize=50&sort=ranking&order=DESC,284,0,0
1686470649826,133,login,200,,Thread Group 1-7,text,true,,2534,251,8,8,http://3.141.4.157:8080/fablix/login.html,133,0,64
1686470649926,151,login,200,,Thread Group 1-8,text,true,,2534,251,9,9,http://3.141.4.157:8080/fablix/login.html,151,0,67
1686470650023,148,login,200,,Thread Group 1-9,text,true,,2534,251,10,10,http://3.141.4.157:8080/fablix/login.html,148,0,70
1686470649675,535,add,200,,Thread Group 1-1,text,true,,133,184,10,10,http://3.141.4.157:8080/fablix/search?title=Batman%20Begins&pagesize=50&sort=ranking&order=DESC,535,0,64
1686470649774,477,add,200,,Thread Group 1-5,text,true,,281,192,10,10,http://3.141.4.157:8080/fablix/search?title=Million%20Dollar%20Baby&pagesize=50&sort=ranking&order=DESC,477,0,0
1686470650125,137,login,200,,Thread Group 1-10,text,true,,2534,251,10,10,http://3.141.4.157:8080/fablix/login.html,136,0,66
1686470649874,569,add,200,,Thread Group 1-6,text,true,,2425,191,10,10,http://3.141.4.157:8080/fablix/search?title=Live%20and%20Let%20Die&pagesize=50&sort=ranking&order=DESC,569,0,0
1686470649841,641,add,200,,Thread Group 1-2,text,true,,133,187,10,10,http://3.141.4.157:8080/fablix/search?title=The%20Two%20Towers&pagesize=50&sort=ranking&order=DESC,640,0,64
1686470649959,677,add,200,,Thread Group 1-7,text,true,,2809,197,10,10,http://3.141.4.157:8080/fablix/search?title=The%20Spy%20Who%20Loved%20Me&pagesize=50&sort=ranking&order=DESC,677,0,0
1686470649953,709,add,200,,Thread Group 1-4,text,true,,1755,187,10,10,http://3.141.4.157:8080/fablix/search?title=Shall%20We%20Dance&pagesize=50&sort=ranking&order=DESC,709,0,69
1686470650077,597,add,200,,Thread Group 1-8,text,true,,780,183,10,10,http://3.141.4.157:8080/fablix/search?title=Notting%20Hill&pagesize=50&sort=ranking&order=DESC,596,0,0
1686470650172,506,add,200,,Thread Group 1-9,text,true,,3585,182,10,10,http://3.141.4.157:8080/fablix/search?title=Ghost%20World&pagesize=50&sort=ranking&order=DESC,505,0,0
1686470649924,771,add,200,,Thread Group 1-3,text,true,,133,198,10,10,http://3.141.4.157:8080/fablix/search?title=The%20Lord%20of%20the%20Rings&pagesize=50&sort=ranking&order=DESC,771,0,64
1686470650262,441,add,200,,Thread Group 1-10,text,true,,133,184,10,10,http://3.141.4.157:8080/fablix/search?title=Batman%20Begins&pagesize=50&sort=ranking&order=DESC,441,0,0
1686470650253,517,add,200,,Thread Group 1-5,text,true,,5286,185,10,10,http://3.141.4.157:8080/fablix/search?title=Vampire%20Effect&pagesize=50&sort=ranking&order=DESC,517,0,66
1686470650211,597,add,200,,Thread Group 1-1,text,true,,466,191,10,10,http://3.141.4.157:8080/fablix/search?title=The%20Usual%20Suspects&pagesize=50&sort=ranking&order=DESC,597,0,66
1686470650482,481,add,200,,Thread Group 1-2,text,true,,3585,182,10,10,http://3.141.4.157:8080/fablix/search?title=Ghost%20World&pagesize=50&sort=ranking&order=DESC,481,0,69
1686470650444,527,add,200,,Thread Group 1-6,text,true,,133,186,10,10,http://3.141.4.157:8080/fablix/search?title=The%20Lost%20Boys&pagesize=50&sort=ranking&order=DESC,527,0,65
1686470650696,466,add,200,,Thread Group 1-3,text,true,,754,184,10,10,http://3.141.4.157:8080/fablix/search?title=Rush%20Hour%202&pagesize=50&sort=ranking&order=DESC,465,0,65
1686470650704,514,add,200,,Thread Group 1-10,text,true,,133,193,10,10,http://3.141.4.157:8080/fablix/search?title=Walk%20in%20the%20Clouds&pagesize=50&sort=ranking&order=DESC,514,0,64
1686470650678,549,add,200,,Thread Group 1-9,text,true,,454,184,10,10,http://3.141.4.157:8080/fablix/search?title=Sleepy%20Hollow&pagesize=50&sort=ranking&order=DESC,549,0,66
1686470650637,675,add,200,,Thread Group 1-7,text,true,,788,191,10,10,http://3.141.4.157:8080/fablix/search?title=American%20History%20X&pagesize=50&sort=ranking&order=DESC,675,0,63
1686470650674,669,add,200,,Thread Group 1-8,text,true,,24649,178,10,10,http://3.141.4.157:8080/fablix/search?title=Alexander&pagesize=50&sort=ranking&order=DESC,605,0,66
1686470650662,774,add,200,,Thread Group 1-4,text,true,,89132,174,10,10,http://3.141.4.157:8080/fablix/search?title=Seven&pagesize=50&sort=ranking&order=DESC,632,0,65
1686470650809,676,add,200,,Thread Group 1-1,text,true,,7080,177,10,10,http://3.141.4.157:8080/fablix/search?title=Dr.%20No&pagesize=50&sort=ranking&order=DESC,675,0,64
1686470650771,821,add,200,,Thread Group 1-5,text,true,,133,188,10,10,http://3.141.4.157:8080/fablix/search?title=Swimming%20Upstream&pagesize=50&sort=ranking&order=DESC,820,0,66
1686470650964,736,add,200,,Thread Group 1-2,text,true,,133,183,10,10,http://3.141.4.157:8080/fablix/search?title=Ocean%20Twelve&pagesize=50&sort=ranking&order=DESC,736,0,66
1686470651162,583,add,200,,Thread Group 1-3,text,true,,11511,188,10,10,http://3.141.4.157:8080/fablix/search?title=License%20To%20Kill&pagesize=50&sort=ranking&order=DESC,582,0,65
1686470651227,568,add,200,,Thread Group 1-9,text,true,,133,185,10,10,http://3.141.4.157:8080/fablix/search?title=Lemony%20Snicket&pagesize=50&sort=ranking&order=DESC,568,0,69
1686470650971,837,add,200,,Thread Group 1-6,text,true,,1941,189,10,10,http://3.141.4.157:8080/fablix/search?title=the%20Last%20Crusade&pagesize=50&sort=ranking&order=DESC,837,0,65
1686470651312,498,add,200,,Thread Group 1-7,text,true,,1064,176,10,10,http://3.141.4.157:8080/fablix/search?title=Stepmom&pagesize=50&sort=ranking&order=DESC,498,0,64
1686470651218,597,add,200,,Thread Group 1-10,text,true,,4359,183,10,10,http://3.141.4.157:8080/fablix/search?title=Terminator%202&pagesize=50&sort=ranking&order=DESC,597,0,64
1686470651343,556,add,200,,Thread Group 1-8,text,true,,133,186,10,10,http://3.141.4.157:8080/fablix/search?title=The%20Lost%20Boys&pagesize=50&sort=ranking&order=DESC,556,0,65
1686470651436,603,add,200,,Thread Group 1-4,text,true,,133,189,10,10,http://3.141.4.157:8080/fablix/search?title=The%20Life%20Aquatic&pagesize=50&sort=ranking&order=DESC,603,0,65
