timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1686468659688,176,login,200,,Thread Group 1-1,text,true,,2534,251,1,1,http://3.141.4.157:8080/fablix/login.html,173,0,89
1686468659870,133,add,200,,Thread Group 1-1,text,true,,1727,183,1,1,http://3.141.4.157:8080/fablix/search?title=Forrest%20Gump&pagesize=50&sort=ranking&order=DESC,133,0,0
1686468660005,181,add,200,,Thread Group 1-1,text,true,,133,188,1,1,http://3.141.4.157:8080/fablix/search?title=The%20Sixth%20Sense&pagesize=50&sort=ranking&order=DESC,181,0,64
1686468660188,184,add,200,,Thread Group 1-1,text,true,,5373,185,1,1,http://3.141.4.157:8080/fablix/search?title=Bruce%20Almighty&pagesize=50&sort=ranking&order=DESC,183,0,67
1686468660372,177,add,200,,Thread Group 1-1,text,true,,2077,182,1,1,http://3.141.4.157:8080/fablix/search?title=Being%20Human&pagesize=50&sort=ranking&order=DESC,177,0,65
1686468660550,174,add,200,,Thread Group 1-1,text,true,,133,184,1,1,http://3.141.4.157:8080/fablix/search?title=Batman%20Begins&pagesize=50&sort=ranking&order=DESC,174,0,63
1686468660724,181,add,200,,Thread Group 1-1,text,true,,281,192,1,1,http://3.141.4.157:8080/fablix/search?title=Million%20Dollar%20Baby&pagesize=50&sort=ranking&order=DESC,181,0,65
1686468660906,183,add,200,,Thread Group 1-1,text,true,,133,187,1,1,http://3.141.4.157:8080/fablix/search?title=The%20Two%20Towers&pagesize=50&sort=ranking&order=DESC,183,0,64
1686468661089,180,add,200,,Thread Group 1-1,text,true,,2425,191,1,1,http://3.141.4.157:8080/fablix/search?title=Live%20and%20Let%20Die&pagesize=50&sort=ranking&order=DESC,180,0,65
1686468661270,220,add,200,,Thread Group 1-1,text,true,,133,198,1,1,http://3.141.4.157:8080/fablix/search?title=The%20Lord%20of%20the%20Rings&pagesize=50&sort=ranking&order=DESC,219,0,65
1686468661492,191,add,200,,Thread Group 1-1,text,true,,1755,187,1,1,http://3.141.4.157:8080/fablix/search?title=Shall%20We%20Dance&pagesize=50&sort=ranking&order=DESC,190,0,65
1686468661683,196,add,200,,Thread Group 1-1,text,true,,2809,197,1,1,http://3.141.4.157:8080/fablix/search?title=The%20Spy%20Who%20Loved%20Me&pagesize=50&sort=ranking&order=DESC,196,0,76
1686468661880,178,add,200,,Thread Group 1-1,text,true,,780,183,1,1,http://3.141.4.157:8080/fablix/search?title=Notting%20Hill&pagesize=50&sort=ranking&order=DESC,177,0,65
1686468662058,178,add,200,,Thread Group 1-1,text,true,,3585,182,1,1,http://3.141.4.157:8080/fablix/search?title=Ghost%20World&pagesize=50&sort=ranking&order=DESC,178,0,65
1686468662237,185,add,200,,Thread Group 1-1,text,true,,466,191,1,1,http://3.141.4.157:8080/fablix/search?title=The%20Usual%20Suspects&pagesize=50&sort=ranking&order=DESC,185,0,65
1686468662423,182,add,200,,Thread Group 1-1,text,true,,5286,185,1,1,http://3.141.4.157:8080/fablix/search?title=Vampire%20Effect&pagesize=50&sort=ranking&order=DESC,182,0,65
